org_id,org_name,students,address,grades
PS190,Montgomery Center School,136,"249 SCHOOL DRIVE, MONTGOMERY CTR, VT, 05471","elementary, middle"
PS191,Montpelier High School,318,"5 HIGH SCHOOL DRIVE, MONTPELIER, VT, 05602",high
PS192,Monument School,175,"66 MAIN STREET, BENNINGTON, VT, 05201",elementary
PS193,Moretown Elementary School,162,"940 ROUTE 100B, MORETOWN, VT, 05660",elementary
PS194,Morristown Elementary Schools,352,"548 PARK STREET, MORRISVILLE, VT, 05661",elementary
PS196,Mt Anthony Senior UHSD #14,860,"301 PARK STREET EXTENSION, BENNINGTON, VT, 05201",high
PS197,Mt Anthony Union Middle School,595,"747 EAST ROAD, BENNINGTON, VT, 05201","elementary, middle"
PS198,Mt Holly School,111,"150 SCHOOL STREET, MOUNT HOLLY, VT, 05758",elementary
PS199,Mt Mansfield Union High School,782,"211 BROWNS TRACE RD, JERICHO, VT, 05465",high
PS195,Mt. Abraham Union High School #61,627,"220 AIRPORT DRIVE, BRISTOL, VT, 05443","middle, high"
PS200,Neshobe School,415,"17 NESHOBE CIRCLE, BRANDON, VT, 05733",elementary
PS201,Newark School,59,"1448 NEWARK STREET, NEWARK, VT, 05871","elementary, middle"
PS408,Newbrook Elementary School,158,"14 SCHOOL ROAD, NEWFANE, VT, 05345",elementary
PS202,Newbury Elementary School,144,"PO BOX 68, NEWBURY, VT, 05051",elementary
PS204,Newport City Elementary Schools,367,"166 SIAS AVENUE, NEWPORT, VT, 05855",elementary
PS205,Newport Town School,98,"4212 VT ROUTE 105, NEWPORT CENTER, VT, 05857",elementary
PS206,Newton Elementary School,105,"PO BOX 239, SOUTH STRAFFORD, VT, 05070","elementary, middle"
PS364,North Country Junior UHSD #22,253,"57 JUNIOR HIGH DRIVE, DERBY, VT, 05829",middle
PS208,North Country Senior UHSD #22,680,"209 VETERANS AVE, NEWPORT, VT, 05855",high
PS209,North Hero Elementary School,66,"6441 US ROUTE 2, NORTH HERO, VT, 05474",elementary
PS210,Northfield Elementary School,307,"10 CROSS STREET, NORTHFIELD, VT, 05663",elementary
PS211,Northfield Middle/High School,285,"37 CROSS STREET, UNIT2+3, NORTHFIELD, VT, 05663","elementary, middle, high"
PS383,Oak Grove School,292,"15 MORELAND AVENUE, BRATTLEBORO, VT, 05301",elementary
PS215,Orange Center School,79,"357 US ROUTE 302, EAST BARRE, VT, 05649","elementary, middle"
PS216,Orchard School,483,"2 BALDWIN AVENUE, SO BURLINGTON, VT, 05403",elementary
PS217,Orleans Elementary School,125,"53 SCHOOL STREET, ORLEANS, VT, 05860","elementary, middle"
PS218,Orwell Village School,153,"494 MAIN STREET, ORWELL, VT, 05760","elementary, middle"
PS380,Ottauquechee School,228,"PO BOX 353, QUECHEE, VT, 05059",elementary
